,Municipio,area,Populacao_Estimada,Densidade_Demográfica,Mortalidade_Infantil,Despesas_empenhadas,PIB,Código IBGE,Indice s/ Acento,Indice c/ acento,Município com acento,Municipio Sem Acento,DRS
0,ADAMANTINA,411.987,35111,82.15,11.63,13.708.366.993,30962.66,3500105,0,0,ADAMANTINA,ADAMANTINA,DRS 09 Marília
1,ADOLFO,211.055,3554,16.85,19.23,2.010.387.713,25867.75,3500204,1,1,ADOLFO,ADOLFO,DRS 15 São José do Rio Preto
2,AGUAÍ,474.554,36648,67.72,16.06,7.216.873.408,28041.03,3500303,2,2,AGUAÍ,AGUAI,DRS 14 São João da Boa Vista
3,ÁGUAS DA PRATA,142.673,8221,53.05,25.32,2.436.340.149,20683.88,3500402,3,637,ÁGUAS DA PRATA,AGUAS DA PRATA,DRS 14 São João da Boa Vista
4,ÁGUAS DE LINDÓIA,60.126,18808,287.16,8.37,7.520.147.793,26427.34,3500501,4,638,ÁGUAS DE LINDÓIA,AGUAS DE LINDOIA,DRS 07 Campinas
5,ÁGUAS DE SANTA BÁRBARA,404.463,6109,13.83,23.26,2.847.194.804,27620.94,3500550,5,639,ÁGUAS DE SANTA BÁRBARA,AGUAS DE SANTA BARBARA,DRS 06 Bauru
6,ÁGUAS DE SÃO PEDRO,3.612,3521,488.89,38.46,2.270.999.284,40220.9,3500600,6,640,ÁGUAS DE SÃO PEDRO,AGUAS DE SAO PEDRO,DRS 10 Piracicaba
7,AGUDOS,966.708,37401,35.73,12.13,14.341.768.289,59513.01,3500709,7,3,AGUDOS,AGUDOS,DRS 06 Bauru
8,ALAMBARI,159.600,6129,30.66,25.00,2.183.901.214,16981.63,3500758,8,4,ALAMBARI,ALAMBARI,DRS 16 Sorocaba
9,ALFREDO MARCONDES,118.915,4184,32.86,20.83,1.511.197.897,20104.35,3500808,9,5,ALFREDO MARCONDES,ALFREDO MARCONDES,DRS 11 Presidente Prudente
10,ALTAIR,313.007,4186,12.16,20.41,1.941.076.045,25842.48,3500907,10,6,ALTAIR,ALTAIR,DRS 05 Barretos
11,ALTINÓPOLIS,928.956,16203,16.8,16.39,5.543.605.472,30792.08,3501004,11,7,ALTINÓPOLIS,ALTINOPOLIS,DRS 13 Ribeirão Preto
12,ALTO ALEGRE,318.574,4088,12.86,33.33,1.823.622.271,26207.29,3501103,12,8,ALTO ALEGRE,ALTO ALEGRE,DRS 02 Araçatuba
13,ALUMÍNIO,83.660,18767,201.28,20.33,7.257.258.372,113887.93,3501152,13,9,ALUMÍNIO,ALUMINIO,DRS 16 Sorocaba
14,ÁLVARES FLORENCE,362.411,3647,10.74,26.32,1.824.110.731,32245.7,3501202,14,641,ÁLVARES FLORENCE,ALVARES FLORENCE,DRS 15 São José do Rio Preto
